,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
39762,ENSMUSG00000087861.1,0,0,0,0
39763,ENSMUSG00000065494.1,0,0,0,0
39764,ENSMUSG00000077602.1,0,0,0,0
39765,ENSMUSG00000096960.1,2,0,5,5
39766,ENSMUSG00000048399.4,0,0,0,1
39767,ENSMUSG00000022510.14,2,7,3,30
39768,ENSMUSG00000065333.1,0,0,0,0
39769,ENSMUSG00000098103.1,0,0,0,0
39770,ENSMUSG00000090257.1,10,9,11,30
39771,ENSMUSG00000038168.5,27,39,32,66
39772,ENSMUSG00000090203.1,0,0,0,0
39773,ENSMUSG00000022512.2,153,79,80,674
39774,ENSMUSG00000038148.13,0,0,0,2
39775,ENSMUSG00000091972.1,0,2,6,4
39776,ENSMUSG00000022514.14,567,349,550,1245
39777,ENSMUSG00000092545.7,5,0,4,4
39778,ENSMUSG00000068428.6,11,16,5,18
39779,ENSMUSG00000052276.8,1,0,0,0
39780,ENSMUSG00000089705.1,3,3,7,9
39781,ENSMUSG00000056423.7,0,0,1,0
39782,ENSMUSG00000038127.14,5740,6295,11698,11741
39783,ENSMUSG00000022523.9,681,1276,635,1192
39784,ENSMUSG00000076064.1,0,0,0,0
39785,ENSMUSG00000051065.8,1866,1996,1780,3194
39786,ENSMUSG00000022525.13,41,46,40,109
39787,ENSMUSG00000048939.13,47,70,24,57
39788,ENSMUSG00000083141.1,0,0,0,0
39789,ENSMUSG00000038094.15,4,14,2,6
39790,ENSMUSG00000038084.16,4912,5363,7816,9569
39791,ENSMUSG00000097307.1,5,0,2,2
39792,ENSMUSG00000097313.1,0,0,1,3
39793,ENSMUSG00000075286.3,0,0,0,0
39794,ENSMUSG00000097184.1,3,2,5,1
39795,ENSMUSG00000022528.7,105,160,412,219
39796,ENSMUSG00000084444.1,0,0,0,0
39797,ENSMUSG00000101888.1,0,0,0,0
39798,ENSMUSG00000097621.1,0,0,0,0
39799,ENSMUSG00000023176.8,0,0,0,0
39800,ENSMUSG00000052316.9,3,2,4,0
39801,ENSMUSG00000047953.6,3,4,5,6
39802,ENSMUSG00000022533.13,3400,3823,5206,7152
39803,ENSMUSG00000022537.17,6129,6113,7069,9779
39804,ENSMUSG00000022538.19,967,991,1948,1950
39805,ENSMUSG00000046546.3,84,307,247,309
39806,ENSMUSG00000095791.1,0,0,1,0
39807,ENSMUSG00000088782.1,0,0,0,0
39808,ENSMUSG00000047434.13,428,569,679,821
39809,ENSMUSG00000087605.1,0,2,2,1
39810,ENSMUSG00000049076.9,2004,2443,3433,3167
